ID,Name,Type,Description
161,Museo Nacional De Antropolog�a in Mexico City,Museums/Art Galleries,"The largest and most visited museum in Mexico, Museo Nacional De Antropolog�a specializes in the history of the country�s pre-Columbian heritage through archaeological artifacts. Architect Pedro Ram�rez V�zquez paid tribute to the indigenous legacy of Mexico by building the museum in the Chapultepec Forest, emphasizing a natural relationship with the environment. The 600,000 piece collection includes the Aztec Stone of Sun and the Xochipilli statue."
162,Mus�e D'Orsay in Paris,Museums/Art Galleries,"The Mus�e D'Orsay, once a railway station, houses an internationally renowned collection of Impressionist art and other Western pieces from 1848 and 1914. Architect Victor Laloux built the original magnificent structure in 1900 to welcome in visitors to the World�s Fair. After its closure in 1939, the Beaux-Arts station remained in a state of disuse until President Valery Giscard authorized renovations on the historic building in the late 1970s. Inaugurated in 1986, the white limestone walls are now home to some of the most notable artworks in France, like sculptures by Auguste Rodin and paintings by Paul Gauguin."
163,The Art Institute of Chicago,Museums/Art Galleries,"The Art Institute of Chicago has over 300,000 works of art for visitors to view across the original building and the Modern Wing designed by Renzo Piano. After the Great Fire of 1871, Chicago leaders were devoted to rebuilding and growing the city which included opening a museum and school for the fine arts. The Art Institute found its permanent home at the corner Michigan Avenue and Adams Street in 1893 with two bronze lions marking the front entrance of the museum. Gustave Caillebotte's Paris Street; Rainy Day and Grant Wood's American Gothic, are among the Institute's massive collection."
164,Museo Larco in Lima,Museums/Art Galleries,"Located in the Pueblo Libre District of Lima, Museo Larco specializes in pre-Columbian art spanning over 5,000 years of Peruvian history. Established by Rafael Larco Hoyle in 1926 after acquiring 45,000 artifacts and vessels, the institution is currently housed in an 18th-century vice-royal building. Among the museum�s permanent collection, the Gold and Silver Gallery displays the largest collection of pre-Columbian jewelry often worn by notable rulers during that time."
165,"The Museum of Qin Terracotta Warriors and Horses in Xi'an, China",Museums/Art Galleries,"The ancient Chinese funerary art of terracotta sculptures at this mausoleum and museum depicts the armies of Qin Shi Huang, the first Emperor of China. The terracotta army, dating back to the late third century, was discovered by local farmers in 1974 just outside of Xi'an City. It�s estimated that the three pits within the mausoleum contains more than 8,000 soldiers, 130 chariots with 520 horses, and 150 cavalry horses. Within the same site, visitors can also enjoy the Museum of Terracotta Acrobatics, Museum of Terracotta Civil Officials, Museum of Stone Armor and Museum of Bronze Chariot and Horse."
166,The Mus�e du Louvre in Paris,Museums/Art Galleries,"The Mus�e du Louvre has way more to offer than just Leonardo da Vinci's Mona Lisa. King Philip II ordered the construction of a fortress in 1190 to protect Paris. During the 16th century, the Louvre served as a royal palace for the monarchy until King Louis XIV moved the royal residence to Versailles. The National Assembly opened the Louvre as a museum in 1793, starting its legacy as the world�s largest art museum. The Winged Victory of Samothrace and Psyche Revived by Cupid's Kiss are just a few of the nearly 380,000 works of art within the Louvre."
167,State Hermitage Museum in St. Petersburg,Museums/Art Galleries,"The State Hermitage Museum roots date back to 1764 after Catherine the Great purchased 225 paintings by Flemish and Dutch artists and wanted a private gallery within the Winter Palace to display the works. Today, the Hermitage Museum houses over a million works of art and consists of five buildings �Winter Palace, Large Hermitage, Small Hermitage, New Hermitage, and the Theatre of Catherine the Great. The art and culture museum is home to a number of pieces by Dutch painter Rembrandt as well as an extensive collection of Japanese porcelain."
168,Museo Nacional Del Prado in Madrid,Museums/Art Galleries,"Designed by famed architect Juan de Villanueva, the Museo Nacional Del Prado serves as Spain's national museum, showcasing countless Spanish artists like Diego Vel�zquez and Francisco Goya. King Charles III ordered the construction of the Prado in 1785 to house the Natural History Cabinet. King Ferdinand VII later named the building the new home of the Spain�s most valuable paintings and sculptures in November of 1819. The Prado announced in 2016 that British architect Norman Foster and Carlos Rubio Carvajal will renovate the Hall of Realms, formerly a part of the Buen Retiro palace, as a $32 million extension to the museum."
169,The National Gallery in London,Museums/Art Galleries,"Located on the north side of Trafalgar Square, the National Gallery houses the national collection of Western European paintings from the 13th to the 19th centuries. Opened in 1838, parliament felt that Trafalgar Square would be the perfect location for a free museum for its central location, making it possible for people of all classes of society to easily access the paintings. The permanent collection includes The Arnolfini Portrait by Jan Van Eyck and The Great Bathers by Paul C�zanne."
170,Rijksmuseum in Amsterdam,Museums/Art Galleries,"Formerly known as Nationale Kunstgalerij, Rijksmuseum first opened its doors on May 31, 1800 with more than 200 paintings and historical objects on display. Soon after taking the throne, King Louis Napoleon ordered that the collections be moved to the new capital of the Kingdom of Holland, Amsterdam, where it remains today. The collection consists of one million objects dedicated to art and history with the museum�s first purchase, The Swan by Jan Asselijn, remaining one of Rijksmuseum�s most renowned pieces."
171,The Vasa Museum in Stockholm,Museums/Art Galleries,"Board this recovered 17th-century Swedish ship for the ultimate trip down Scandinavian memory lane at the Vasa Museum. Gustav II Adolf lead the construction of new Swedish navy ships around 1618 including the Vasa, named after the Vasa Dynasty. The ship was regarded as one of the most powerful warships in the Baltic until it ultimately sunk in August of 1628. As a part of the museum today, the recovered ship is now embellished with hundreds of wooden sculptures."
172,The Acropolis Museum in Athens,Museums/Art Galleries,"The highly curated exhibits of The Acropolis Museum focuses on the archaeological findings in the Acropolis of Athens between the Greek Bronze Age and Byzantine era. Located in the historic area of Makriyianni, the museum was founded in 1976 and houses nearly 4,000 sculptures and antiquities."
173,The British Museum in London,Museums/Art Galleries,"The first national museum in the world, the British Museum was established by parliament when physician Sir Hans Sloane passed on his 71,000 collection to King George II for the nation after his death in 1753. Sir Robert Smirke designed the museum�s current Greek Revival-style building, including the famous copper-domed Reading Room. The museum also is the current holder of the classic Elgin Marbles and the Rosetta Stone."
174,The Van Gogh Museum in Amsterdam,Museums/Art Galleries,"Touted as one of them most influential Dutch painters of all time, Vincent van Gogh produced nearly 900 paintings and more than 1,100 works on paper during his lifetime. The two buildings of the Vincent van Gogh Museum were designed by Gerrit Rietveld in 1973 with the core of the collection coming from Theo van Gogh, Vincent�s younger brother. Along with his own artwork like Sunflowers, the gallery also includes work by those van Gogh influenced."
175,Galleria dell'Accademia in Florence,Museums/Art Galleries,"The Grand Duke of Tuscany established the Galleria dell'Accademia in the 18th-century as a teaching facility for students of the Academy of Fine Arts. Michelangelo's David joined the museum in 1873 from Piazza della Signoria, becoming the museum�s must-see attraction. The Academia Gallery also showcases a collection of antic musical instruments."
176,Shanghai � The Museum City,Cultural,"Shanghai, also known as the global financial hub, is the largest city of China, and also the most populous city in the world. It is the birthplace of Chinese cinema, and boasts of numerous cultural attractions such as national as well as regional museums, diverse architecture, fascinating art galleries, sybaritic restaurants and cafes, and a vibrant nightlife."
177,Istanbul � A City That Brings Ancient Relics Back To Life,Cultural,"Witness the old world charm while traversing through the empire city of Istanbul. Straddling across Europe and Asia, Istanbul is the world�s only transcontinental city with an amalgamation of Asian and European culture. The relics of antiquity, historical museum, bustling markets, medieval ruins, upmarket restaurants, and peppy nightclubs form a major part of cultural tourism in Istanbul."
178,"Vienna � A City That Breathes Music, In & Out",Cultural,"Vienna is another city which adds to the charm of elegant European culture. The city of canals is known for its artistic legacy, imperial architecture, and majestic museums. Vienna�s long-lived culture of music, theatre, and opera is now accompanied by a contemporary trend of opulent coffee houses and elegant restaurants."
179,Tokyo � The Food Capital Of The World,Cultural,"Unlike other cultural destinations of the world, Tokyo�s culture is not only limited to ancient art and architecture. This metropolitan city depicts a unique blend of futuristic and traditional world with architecture ranging from historical temples to neon-lit skyscrapers. The most beckoning part of Japanese culture is their food. Tokyo has the most number of Michelin-starred restaurant than any other city in the world, thus, earning the title of �food capital of the world�."
180,New York � Shining With The Empire State Of Mind,Cultural,"New York, the most lively city of United States, is also a popular commercial, financial, and cultural cities of the world. The city houses ultramodern architectural buildings, highest number of theaters, musical concerts, and a bustling nightlife which beckon every traveler to visit this place once in a lifetime."
181,S�o Paulo � An Owl City That Has Over 2000 Nightclubs,Cultural,"Holding a record of maximum number of nightclubs, Sao Paulo is a city that never sleeps. The city witnesses a vast cultural diversity with sophisticated art and architecture on side and an uproaring party culture on the other. Keeping aside cultural places to visit, the Paulistanos possess an eternal love for music and theatre which reflects brightly from their culture."
182,Varanasi � The Spiritual Capital Of India,Cultural,"Varanasi, a major pilgrimage city in India, is one of the most visited cultural travel destinations of the country. Situated on the banks of the divine Ganges river, Varanasi is one of the oldest civilised city of the world which can be best explored with personalized India tour packages. This mystical city is considered as an abode of Lord Shiva, and is of great religious importance to the Hindus who visit this place in order to repent, seek forgiveness, and to pay final respects to the departed family members."
183,Barcelona � A City That Speaks Architecture,Cultural,This Spanish seaside city possesses a rich cultural heritage in the form of art and architecture which dates back to the middle ages. Barcelona is one of the most visited cultural places in the world which is not only famous for its historical past but also for its Catalan cuisine and elegant wine and dine restaurants. It is one of the most interesting cultural tourism places to visit if you want to have a holistic experience.
184,Rio de Janeiro � The La La Land Of Festivals & Carnivals,Cultural,"The first thing that comes to one�s mind upon hearing Rio de Janeiro is the famous �Christ The Redeemer� statue. The �Marvellous City� is an important part of cultural tourism famous for its colourful lifestyle, high-spirited nightlife with music in the veins of every Carioca. The enthusiastic lifestyle of the people coupled with the golden sand beaches, and picturesque mountains make the city even more enticing."
185,Dubai � A Skyscraper-City That Is Synonymous With Luxury,Cultural,"Dubai, the most sumptuous cultural tourism city, is a synonym of luxury. The lavish culture of the Emirati people reflects in their ornate architecture, extravagant hotels and resorts, and expansive malls. Being an epitome of development, Dubai is one of the most futuristic cities of the world in terms of technology, and architecture."
186,Madrid � A City That Cannot Survive Without Flamenco,Cultural,"Madrid, the capital of Spain, is another city which depicts the majestic grandeur of European culture. The city�s culture is beautifully moulded in the artistic and architectural masterpieces, which is further enhanced by the culinary delights where fine art meets fine dining on the bustling streets of the city which become even more lit during the night."
187,Singapore � A Cuisine Hybrid That Brings Flavors Of The World Together,Cultural,"One of the most tourist friendly cities of the world, Singapore is an indispensable part of cultural tourism. This island city is one of the most culturally diverse cities in the world in terms lifestyle, language, and cuisine. It is a global financial with the most efficient transport system in the world, eco-friendly business hubs, and a plethora of shopping malls."
188,Miami � A Dazzling City Where Beach Scenes Are Done Right,Cultural,"One of the leading cities of cultural tourism, Miami lures culture lovers to visit its white sand beaches, artistic beauty, and architectural jewels. This culturally diverse city is one of the beckons you to capture a glimpse of its exuberant culture which reflects through its dazzling nightlife, innovative cuisines, and thrilling adventure sports."
189,Toronto � A True Showcase Of Unity In Diversity,Cultural,"Toronto, often called the capital of language diversity, is one of the finest example of cultural tourism. This culturally and linguistically diverse city is an exceptional example of hospitality and the number of ethnic groups that it accommodates. Other than that, Toronto is also known for its freezing winters, prodigious skyscrapers, and extensive culinary delights."
190,"Bangkok � A Fantasy Land Of Temples, Bars, And Buzzing Nightlife",Cultural,"One of the most budget-friendly cultural tourism destinations, Bangkok is famous for its iconic temples, vibrant cuisine, and lively bars all over the world. The Thai culture resides in each and every aspect of the city, be it ultramodern architecture, tropical beaches, the traditional martial arts, or the much-hyped go-go bars. Apart from this, this temple land is also popular amidst the honeymooners who flock to Bangkok, Thailand all round the year."
191,"Jerusalem � An United Abode Of Judaism, Islam, And Christianity",Cultural,"Jerusalem, in true sense, is the quintessence of cultural tourism. It might be the only city in the world where one can hear church bells in consonance with Namaz, and sound of the Shofar. The city�s cultural diversity is accompanied by its contrasting ancient and newfangled architecture, lifestyle, and beliefs. This city offers captivating tourist attractions ranging from museums to buildings, and restaurants and bars."
192,"Rome � A City That Oozes Royalty, Romance, And Ruins",Cultural,"Rome, also known as the Eternal City, is the epitome of European culture. Traversing through this city feels like traveling back in time to the middle ages. The cultural heritage of the city is restored in the ancient ruins like the age-old Colosseum, Roman Forum, and Piazza Venezia. The mesmerizing art, and the bustling city life of this city render it as one of the most romantic destinations of the world."
193,London � A Flawless Combo Of Cosmopolitan Culture & Old-World Charm,Cultural,"London, the capital city of England, depicts an amalgamation of both ancient and modern European culture. The cosmopolitan culture of the city can be estimated by the fact that one in every 3 Londoners is a foreign born. Other than that, the royal city is also known for its heritage architecture, creative art, film festivals, performing arts, and delectable cuisines."
194,Milan � The Fashion Capital Of The World,Cultural,"Take a bus tour around the streets of Milan to absorb the rich history associated with its architecture, people, and food. Dressing to impress is a way of life and a given in the fashion capital of the world. Be prepared for a classy experience in a city that�s had more than its fair share of scandals, historic moments, and iconic people who have made a big imprint on human civilization."
195,"Paris � An Epitome Of Love, Romance, And Modern Art",Cultural,"Paris is a city overloaded with European culture. It is the most romantic destination of the world and a hub of modern art, fashion, film festivals, cinemas, shopping and gastronomy. Another important part of Parisian culture is the French cuisine which is served in iconic restaurants and blissful bakeries."
196,"Marrakech, Morocco",Cultural,"Marrakech is known as the �red city� for its rose-colored buildings. The city�s walled medina, or old city, is a UNESCO world heritage site. One-thousand-year-old monuments remain within the medina, including the Koutoubiya Mosque, the Kasbah, and several gardens. Today, the medina is a crowded marketplace with traditional Moroccan goods for sale. Make sure to visit the Jamaa El Fna Square, an outdoor theater where storytellers and musicians perform."
197,"Siem Reap, Cambodia",Cultural,"The small city of Siem Reap is home to Angkor Wat, the world�s largest religious monument. Visitors can also see hundreds of ancient Buddhist temples in and around town. After a long day at the temples, tourists can enjoy one of Siem Reap�s many bars, restaurants, and nightclubs. VOA Learning English Facebook fan Thea, of Cambodia, suggests a visit to the Phnom Kulen National Park in Siem Reap Province. The park�s two waterfalls offer excellent swimming areas."
198,"Prague, Czech Republic",Cultural,"This Eastern European city is the modern capital of the Czech Republic and the historical capital of the kingdom of Bohemia. Walk across the Charles Bridge and visit the John Lennon Wall to get a sense of the city�s quiet revolutionary soul. From the unique art of David Cerny � often hidden in plain sight � to the growing counterculture scene, Prague is full of surprises."
199,"Buenos Aires, Argentina",Cultural,"Romance is in the air in South America�s most European-style city. The city is known for wide streets, beautiful cafes and exciting social life. Take a walk through the historic San Telmo on a Sunday and you will see couples dancing the tango, Argentina�s famed dance. If you like soccer, don�t miss the famous La Bombonera stadium, home of the Boca Juniors soccer club."
200,"Zermatt, Switzerland",Cultural,"This Alpine Swiss city is most famous for the Matterhorn, a huge, jagged mountain with one of the highest summits in Europe. In its shadow is tiny Zermatt, a car-free town of just over 5,000 people. While winter is the most popular time for world-class skiing, summer is a great time to hike the surrounding Alps."
201,Panama Canal,Landmark,"This 77km long ship canal connecting the Atlantic ocean with the Pacific ocean is often hailed as one of the most impressive engineering marvels in the world and one which forever transformed global trade and transportation. Panama itself is one of the fastest growing tourism destinations in the world, so be sure to book a cruise that traverses the Panama Canal if you visit."
202,Petronas Twin Towers,Landmark,"Panama Canal This 77km long ship canal connecting the Atlantic ocean with the Pacific ocean is often hailed as one of the most impressive engineering marvels in the world and one which forever transformed global trade and transportation. Panama itself is one of the fastest growing tourism destinations in the world, so be sure to book a cruise that traverses the Panama Canal if you visit. (Image via Wiki Commons) Kuala Lumpur city guide 24. Petronas Twin Towers A highlight of any trip to Kuala Lumpur, the capital of Malaysia, has got to be a visit to the towering Petronas Twin Towers that reach 452 m into the air. Only 1,700 people are permitted to visit daily and if you�d like to visit, be sure to score one of the tourist passes that will allow you into this astonishing monument."
203,Sydney Opera House,Landmark,"Australia�s most recognisable structure, the UNESCO World Heritage-listed Sydney Opera house is a cultural centre that simply cannot be missed on a visit to Australia. Perched on the edge of the harbour and framed by the iconic Sydney Harbour Bridge, this famous site is a masterpiece of architecture and design."
204,Wat Pho,Landmark,"Most travellers know Wat Pho in Bangkok as being the home to the enormous, reclining Buddha, the largest in all of Thailand (46 m long and 15 m high). Covered in gold leaf with eyes and feet inlaid with mother of pearl, it truly is a spectacular sight to behold. Wat Pho also contains the largest collection of Buddhist images out of anywhere else in the country."
205,Statue of Unity,Landmark,"The tallest statue in the world. Must visit landmark of India. The Statue of Unity is a colossal statue of Indian statesman and independence activist Sardar Vallabhbhai Patel, who was the first Deputy Prime Minister and Home minister of independent India and adherent of Mahatma Gandhi during the non-violent Indian Independence movement."
206,Burj Khalifa,Landmark,"The tallest man-made structure in the world, the Burj Khalifa soars an incredible 828 m into the heavens. The stepped design of the building narrows in width as it rises, giving it a unique look. Ride the elevator to the 124th-floor observation deck for jaw-dropping views over Dubai and the Arabian Gulf."
207,Lincoln Memorial,Landmark,"Commemorating the life of President Abraham Lincoln, the Lincoln Memorial is located in Washington D.C and is regarded as one of America�s most important national monuments. Abraham Lincoln is perhaps most remembered by his condemnation of slavery, which paved the way for its abolition. On the steps of this very monument is also the place where Martin Luther King Jr. delivered his famous �I have a dream� speech."
208,Charles Bridge,Landmark,"There�s no denying that Prague is one of Europe�s most beautiful cities. The 14th century, gothic Charles Bridge connects the Old Town with the Castle district and is one of the most impressive and beautiful medieval structures in the city. From the Charles Bridge, visitors can enjoy fairytale views of Prague, while the 30 baroque statues of saints watch over from above. Dawn and dusk are the most magical times to visit the bridge, as the skyline lights up in a brilliant range colours."
209,The Alhambra,Landmark,"The Alhambra in Granada is Spain�s most celebrated architectural treasure. Moorish poets described it as a �pearl set in emeralds�, referring to the natural beauty of both the site and its surrounds. This sprawling citadel was built by the Moors in the 13th century against the backdrop of the Sierra Nevada mountains. The majesty of Alhambra has long enchanted visitors to Spain, who flock to it in droves especially in the summer months to explore the complex and its magnificent gardens."
210,Notre Dame Cathedral,Landmark,"One of the most famous cathedrals in the world, the Notre Dame is a gothic masterpiece, located on the �le de la Cit� island in the heart of Paris. The cathedral�s expansive interior can accommodate over 6,000 people and is dominated by an extraordinary 7,800-pipe organ. Be sure to climb to the top of the tower for spectacular views over Paris as well as close-ups of the famous gargoyles."
211,Church of the Savior on Blood,Landmark,"One of the most iconic sights in St. Petersburg, the multicoloured fa�ade of the Church of the Savior on Blood is well-known throughout the world. Constructed on the very spot where Tsar Alexander II was killed in 1881, the church�s name commemorates this notorious event. The beautiful interior features more than 7,500 square metres of mosaic tiling and was designed by some of Russia�s most eminent artists of the era"
212,Eiffel Tower,Landmark,"Unquestionably the defining monument of Paris, the elegant Eiffel Tower is the world�s most visited paid attraction. Designed and constructed for the 1889 World Fair, the tower was almost universally hated by the French when it was first built. Since then, it has transformed into the national symbol of France and it�s hard to imagine the country without it. Pre-book tickets online to avoid lengthy queues."
213,Golden Gate Bridge,Landmark,"Once described as �the bridge that couldn�t be built�, this incredible bridge has become the undisputed icon of San Francisco and one of the seven wonders of the modern world. Crossing the strait of the Golden Gate and spanning over 2.7 kilometres, a walk, ride or drive across one of the world�s most famous bridges is an unforgettable experience."
214,Christo Redentor,Landmark,"The all-seeing Christo Redentor (Christ the Redeemer) in Rio de Janeiro casts a watchful gaze over Brazil�s second largest city. This statue of Jesus is the largest art-deco statue in the world and is 39 m tall, with an outreached arm span of 30 m. Standing atop Corcovado, 700 m above the city, the views from Christo Redentor across the seaside settlement are astounding."
215,Alcatraz,Landmark,"Once an intimidating maximum-security prison, �the rock� has famously housed the likes of crime-boss Al Capone and kidnapper George Kelly. Located in the San Francisco bay, 2.4 km offshore, Alcatraz is no longer a penitentiary but is open to visitors for tours."
216,Milan Cathedral,Landmark,"The elaborate, gothic Milan Cathedral is one of the most famous buildings in all of Europe and is the largest gothic cathedral and second largest Catholic cathedral in the world. Few churches in Italy took as long to construct as this one did. An incredible 3,400 statues decorate the duomo. Climb the stairs or take the elevator to fully appreciate the stunning architecture and for breathtaking views of Milan."
217,St. Peter�s Basilica,Landmark,"St. Peter�s Basilica, is the centre of Christianity and the world�s largest church. The structure is imposing and the enormous dome is recognisable all the way across Rome. Taking over a hundred years to build by Italy�s greatest architects of the time, a walk through the awe-inspiring interior to view the magnificent artwork and opulent decorations is essential during any trip to Rome."
218,La Sagrada Familia,Landmark,"This giant, unfinished church, a vision of Antoni Gaud�, has been a unique fixture in Barcelona since construction began in 1882. Although it is still a work in progress, the design of the structure is exceptionally intricate. Not surprisingly, tourists flock to Barcelona�s number one tourist attraction year round. Be sure to take the time to visit the interior of the church as well � it is like nothing you have ever seen before!"
219,Sheikh Zayed Grand Mosque,Landmark,"This colossal, gleaming white structure, located in Abu Dhabi, is an architectural marvel and is one of the world�s largest mosques, with the ability to accommodate an astounding 40,000 worshippers. It features 82 domes, over 1,000 columns and some of the world�s largest chandeliers. No visit to the United Arab Emirates would be complete without a visit to this grand structure."
220,"Plaza de Espana, Spain",Landmark,"One of the most iconic landmarks in Seville, Spain the Plaza de Espana is best hailed for its architecture. Drawing inspiration from the Reconnaissance and Moorish revival periods, it features colourful tiles, fountains and ponds. Flowers bask in the open space, as do orange trees which Seville is particularly known for."
221,"Hungarian Parliament Building, Hungary",Landmark,"No landmark commands the waterfront the way the Hungarian Parliament Building in Budapest does. Opened in 1904, this century-old site still stands strong as the seat of the National Assembly of Hungary. It takes tourists on guided tours to marvel at its Neo-Gothic architecture and the historical relics that lie within, including the Hungarian Crown Jewels."
222,"Tower of London, UK",Landmark,"Perched on the edge of the water not a moments walk from Tower Bridge, Tower of London is steeped in history that many would know full well. William The Conqueror, Henry III, and Edward I all played parts in its creation, Henry VI was murdered here and Anne Boleyn lived here. Today the crown jewels can be seen within its walls."
223,"El Ateneo Grand Splendid, Argentina",Landmark,"Library hound? There's none grander than El Ateneo Grand Splendid. Housed within a former theare/cinema (the Gran Splendid), it retains much of the original architecture, including the dome which is decorated in the artistry of Italian Nazareno Orlandi."
224,"Shwedagon Pagoda, Myanmar",Landmark,"Also known as the Great Dagon Pagoda, Shwedagon Pagoda is arguable one of the most famous and iconic pagodas in the world. Standing at 99 metres high on top of a hill, it can be captured from almost everyone in the city of Yangon. It's guided top boasts over 7,000 jewels including diamonds, rubies and sapphires. This is an active Buddhist pagoda which welcomes followers to pray and worship on its grounds daily."
225,"Historic Centre of Prague, Czech Republic",Landmark,"Prague�s historic centre contains fascinating culture and architecture that date back to the Middle Ages. The beautiful landscape includes palaces, towers, burgher houses, and more where Gothic, Baroque, and modernist works are on display. While it�s difficult to decide what to see in Prague first, we recommend starting with Prague Castle, Charles Bridge, or St. Vitus Cathedral."
